"","overall_sr","won"
"1",168.817204301075,1
"2",165.432098765432,0
"3",121.56862745098,0
"4",149.54128440367,1
"5",151.898734177215,0
"6",124.489795918367,0
"7",112,0
"8",178.688524590164,1
"9",150,1
"10",91.1764705882353,0
"11",222.429906542056,1
"12",163.414634146341,1
"13",217.307692307692,1
"14",113.207547169811,1
"15",161.224489795918,1
"16",143.90243902439,0
